Date,Price,Open,High,Low,Next High,Next Low
3-May-20,1.0816,1.098,1.098,1.0782,1.1019,1.0808
26-Apr-20,1.0985,1.0809,1.1019,1.0808,1.0898,1.0726
19-Apr-20,1.0821,1.0875,1.0898,1.0726,1.0991,1.0812
12-Apr-20,1.0878,1.0941,1.0991,1.0812,1.0953,1.0768
5-Apr-20,1.0936,1.0813,1.0953,1.0768,1.1145,1.0773
29-Mar-20,1.0809,1.1136,1.1145,1.0773,1.1148,1.0637
22-Mar-20,1.1142,1.0696,1.1148,1.0637,1.1237,1.0637
15-Mar-20,1.0695,1.1085,1.1237,1.0637,1.1494,1.1055
8-Mar-20,1.1106,1.1293,1.1494,1.1055,1.1355,1.1002
1-Mar-20,1.1286,1.1002,1.1355,1.1002,1.1055,1.0804
23-Feb-20,1.1026,1.084,1.1055,1.0804,1.0865,1.0777
16-Feb-20,1.0845,1.0832,1.0865,1.0777,1.0959,1.0828
9-Feb-20,1.0832,1.0951,1.0959,1.0828,1.1097,1.0942
2-Feb-20,1.0945,1.1093,1.1097,1.0942,1.1097,1.0991
26-Jan-20,1.1094,1.102,1.1097,1.0991,1.112,1.102
19-Jan-20,1.1025,1.1092,1.112,1.102,1.1174,1.1086
12-Jan-20,1.109,1.1125,1.1174,1.1086,1.1208,1.1085
5-Jan-20,1.1122,1.1168,1.1208,1.1085,1.1241,1.1125
29-Dec-19,1.116,1.1175,1.1241,1.1125,1.1188,1.107
22-Dec-19,1.1177,1.108,1.1188,1.107,1.1176,1.1065
15-Dec-19,1.1079,1.1122,1.1176,1.1065,1.1201,1.1052
8-Dec-19,1.1121,1.1056,1.1201,1.1052,1.1117,1.1003
1-Dec-19,1.1059,1.1014,1.1117,1.1003,1.1034,1.0981
24-Nov-19,1.1017,1.1025,1.1034,1.0981,1.1098,1.1015
17-Nov-19,1.1024,1.1052,1.1098,1.1015,1.1059,1.0989
10-Nov-19,1.1052,1.1023,1.1059,1.0989,1.1177,1.1017
3-Nov-19,1.1018,1.1167,1.1177,1.1017,1.1176,1.1074
27-Oct-19,1.1167,1.1082,1.1176,1.1074,1.1181,1.1073
20-Oct-19,1.108,1.1143,1.1181,1.1073,1.1174,1.0991
13-Oct-19,1.1171,1.1044,1.1174,1.0991,1.1064,1.0941
6-Oct-19,1.1042,1.0976,1.1064,1.0941,1.1001,1.0879
29-Sep-19,1.0978,1.094,1.1001,1.0879,1.1026,1.0904
22-Sep-19,1.0939,1.1015,1.1026,1.0904,1.1092,1.0989
15-Sep-19,1.1018,1.1086,1.1092,1.0989,1.1111,1.0927
8-Sep-19,1.1075,1.1024,1.1111,1.0927,1.1086,1.0926
1-Sep-19,1.1029,1.099,1.1086,1.0926,1.1166,1.0963
25-Aug-19,1.0991,1.1147,1.1166,1.0963,1.1154,1.1051
18-Aug-19,1.1144,1.1091,1.1154,1.1051,1.1231,1.1066
11-Aug-19,1.109,1.1203,1.1231,1.1066,1.1251,1.1103
4-Aug-19,1.12,1.1103,1.1251,1.1103,1.1164,1.1027
28-Jul-19,1.1109,1.1128,1.1164,1.1027,1.1227,1.1102
21-Jul-19,1.1127,1.1218,1.1227,1.1102,1.1286,1.12
14-Jul-19,1.1222,1.1269,1.1286,1.12,1.1287,1.1194
7-Jul-19,1.1271,1.1223,1.1287,1.1194,1.1376,1.1207
30-Jun-19,1.1226,1.1376,1.1376,1.1207,1.1414,1.1344
23-Jun-19,1.137,1.1361,1.1414,1.1344,1.1379,1.1181
16-Jun-19,1.1368,1.1216,1.1379,1.1181,1.1345,1.1202
9-Jun-19,1.1209,1.1324,1.1345,1.1202,1.1349,1.1156
2-Jun-19,1.1333,1.1169,1.1349,1.1156,1.1217,1.1116
26-May-19,1.1169,1.1196,1.1217,1.1116,1.1215,1.1108
19-May-19,1.1204,1.1159,1.1215,1.1108,1.1267,1.1155
12-May-19,1.1158,1.1242,1.1267,1.1155,1.1255,1.116
5-May-19,1.1235,1.1172,1.1255,1.116,1.1267,1.1135
28-Apr-19,1.1202,1.1154,1.1267,1.1135,1.1264,1.1111
21-Apr-19,1.1149,1.1245,1.1264,1.1111,1.1326,1.1226
14-Apr-19,1.1248,1.13,1.1326,1.1226,1.1327,1.1214
7-Apr-19,1.1302,1.1219,1.1327,1.1214,1.1257,1.1183
31-Mar-19,1.1216,1.1218,1.1257,1.1183,1.1333,1.1208
24-Mar-19,1.1218,1.1293,1.1333,1.1208,1.1449,1.1272
17-Mar-19,1.1314,1.1323,1.1449,1.1272,1.1345,1.122
10-Mar-19,1.1325,1.1239,1.1345,1.122,1.1398,1.1177
3-Mar-19,1.124,1.138,1.1398,1.1177,1.1422,1.1324
24-Feb-19,1.1377,1.134,1.1422,1.1324,1.1375,1.1276
17-Feb-19,1.1343,1.1288,1.1375,1.1276,1.1346,1.1233
10-Feb-19,1.1295,1.1329,1.1346,1.1233,1.1467,1.132
3-Feb-19,1.133,1.1457,1.1467,1.132,1.1517,1.139
27-Jan-19,1.1456,1.1406,1.1517,1.139,1.1421,1.1288
20-Jan-19,1.1415,1.1372,1.1421,1.1288,1.1493,1.1352
13-Jan-19,1.1363,1.1471,1.1493,1.1352,1.1572,1.1392
6-Jan-19,1.1469,1.1392,1.1572,1.1392,1.1499,1.1309
30-Dec-18,1.1395,1.1444,1.1499,1.1309,1.1478,1.1342
23-Dec-18,1.1438,1.1372,1.1478,1.1342,1.1487,1.1299
16-Dec-18,1.1369,1.1309,1.1487,1.1299,1.1445,1.1268
9-Dec-18,1.1309,1.1402,1.1445,1.1268,1.1425,1.1311
2-Dec-18,1.1378,1.1315,1.1425,1.1311,1.1403,1.1266
25-Nov-18,1.1317,1.1343,1.1403,1.1266,1.1474,1.1325
18-Nov-18,1.1341,1.1402,1.1474,1.1325,1.1423,1.1215
11-Nov-18,1.142,1.1332,1.1423,1.1215,1.1502,1.1315
4-Nov-18,1.1336,1.1392,1.1502,1.1315,1.1458,1.1301
28-Oct-18,1.1387,1.1408,1.1458,1.1301,1.1552,1.1334
21-Oct-18,1.1403,1.1507,1.1552,1.1334,1.1623,1.1433
14-Oct-18,1.1515,1.1559,1.1623,1.1433,1.1611,1.143
7-Oct-18,1.1563,1.1519,1.1611,1.143,1.1629,1.1463
30-Sep-18,1.1524,1.1608,1.1629,1.1463,1.1816,1.1567
23-Sep-18,1.1609,1.175,1.1816,1.1567,1.1804,1.1617
16-Sep-18,1.175,1.1624,1.1804,1.1617,1.1724,1.1526
9-Sep-18,1.163,1.1561,1.1724,1.1526,1.1661,1.1529
2-Sep-18,1.1553,1.1597,1.1661,1.1529,1.1735,1.1585
26-Aug-18,1.1601,1.1632,1.1735,1.1585,1.1641,1.1394
19-Aug-18,1.1623,1.1442,1.1641,1.1394,1.1447,1.1299
12-Aug-18,1.1439,1.139,1.1447,1.1299,1.1629,1.1384
5-Aug-18,1.1411,1.1572,1.1629,1.1384,1.1745,1.1559
29-Jul-18,1.1567,1.1659,1.1745,1.1559,1.1751,1.1621
22-Jul-18,1.1658,1.1729,1.1751,1.1621,1.1746,1.1574
15-Jul-18,1.172,1.1677,1.1746,1.1574,1.179,1.161
8-Jul-18,1.1685,1.1746,1.179,1.161,1.1769,1.1591
1-Jul-18,1.1747,1.1652,1.1769,1.1591,1.1722,1.1527
24-Jun-18,1.1685,1.1659,1.1722,1.1527,1.1677,1.1509
17-Jun-18,1.1657,1.161,1.1677,1.1509,1.1853,1.1543
10-Jun-18,1.1609,1.1766,1.1853,1.1543,1.1842,1.1653
3-Jun-18,1.1768,1.1657,1.1842,1.1653,1.1728,1.1506
27-May-18,1.1661,1.165,1.1728,1.1506,1.1831,1.1645
20-May-18,1.1652,1.1764,1.1831,1.1645,1.1999,1.1749
13-May-18,1.1778,1.1947,1.1999,1.1749,1.198,1.1823
6-May-18,1.1944,1.1953,1.198,1.1823,1.2141,1.1911
29-Apr-18,1.196,1.2125,1.2141,1.1911,1.2292,1.2055
22-Apr-18,1.213,1.2289,1.2292,1.2055,1.2415,1.225
15-Apr-18,1.2288,1.2331,1.2415,1.225,1.2397,1.2261
8-Apr-18,1.2331,1.2279,1.2397,1.2261,1.2346,1.2214
1-Apr-18,1.2283,1.2323,1.2346,1.2214,1.2477,1.2283
